"ymd","ym","dow","toy","timeCount","tod","load","tempMax","temp95Max","tempMin","temp95Min","todFrom1","peak24","tod24","matTem.1","matTem.2","matTem.3","matTem.4","matTem.5","matTem.6","matTem.7","matTem.8","matTem.9","matTem.10","matTem.11","matTem.12","matTem.13","matTem.14","matTem.15","matTem.16","matTem.17","matTem.18","matTem.19","matTem.20","matTem.21","matTem.22","matTem.23","matTem.24","matTem.25","matTem.26","matTem.27","matTem.28","matTem.29","matTem.30","matTem.31","matTem.32","matTem.33","matTem.34","matTem.35","matTem.36","matTem.37","matTem.38","matTem.39","matTem.40","matTem.41","matTem.42","matTem.43","matTem.44","matTem.45","matTem.46","matTem.47","matTem.48","matTem95.1","matTem95.2","matTem95.3","matTem95.4","matTem95.5","matTem95.6","matTem95.7","matTem95.8","matTem95.9","matTem95.10","matTem95.11","matTem95.12","matTem95.13","matTem95.14","matTem95.15","matTem95.16","matTem95.17","matTem95.18","matTem95.19","matTem95.20","matTem95.21","matTem95.22","matTem95.23","matTem95.24","matTem95.25","matTem95.26","matTem95.27","matTem95.28","matTem95.29","matTem95.30","matTem95.31","matTem95.32","matTem95.33","matTem95.34","matTem95.35","matTem95.36","matTem95.37","matTem95.38","matTem95.39","matTem95.40","matTem95.41","matTem95.42","matTem95.43","matTem95.44","matTem95.45","matTem95.46","matTem95.47","matTem95.48","matInt.1","matInt.2","matInt.3","matInt.4","matInt.5","matInt.6","matInt.7","matInt.8","matInt.9","matInt.10","matInt.11","matInt.12","matInt.13","matInt.14","matInt.15","matInt.16","matInt.17","matInt.18","matInt.19","matInt.20","matInt.21","matInt.22","matInt.23","matInt.24","matInt.25","matInt.26","matInt.27","matInt.28","matInt.29","matInt.30","matInt.31","matInt.32","matInt.33","matInt.34","matInt.35","matInt.36","matInt.37","matInt.38","matInt.39","matInt.40","matInt.41","matInt.42","matInt.43","matInt.44","matInt.45","matInt.46","matInt.47","matInt.48","matLag.1","matLag.2","matLag.3","matLag.4","matLag.5","matLag.6","matLag.7","matLag.8","matLag.9","matLag.10","matLag.11","matLag.12","matLag.13","matLag.14","matLag.15","matLag.16","matLag.17","matLag.18","matLag.19","matLag.20","matLag.21","matLag.22","matLag.23","matLag.24","matLag.25","matLag.26","matLag.27","matLag.28","matLag.29","matLag.30","matLag.31","matLag.32","matLag.33","matLag.34","matLag.35","matLag.36","matLag.37","matLag.38","matLag.39","matLag.40","matLag.41","matLag.42","matLag.43","matLag.44","matLag.45","matLag.46","matLag.47","matLag.48"
2011-07-01,"2011-7","5",0.49591872,1309471200,24,5.124534,19.5134262,16.82271415,10.66724999,13.58978150,25,NA,NA,14.7376160689,14.2510563313,13.6136431921,13.2171363129,13.0392432419,12.7625517052,12.3025376793,11.8261938149,11.3342899931,11.1844068785,11.1458506887,10.9357990808,10.6672499891,10.7502924391,11.0518301339,11.5721359048,12.2097772661,12.9878505431,13.8464392336,14.6062909042,15.1260786347,15.4076665847,15.7441958240,16.5736349971,17.3509222965,17.3018574524,17.2323819738,17.5655129734,18.0912946983,18.7545755793,19.3704759403,19.5134261866,19.0195568223,18.6184367440,18.6603512231,19.0622579274,19.4934140152,19.1909142992,18.6056658579,18.5067362426,18.4676973527,18.0757962402,17.5039133916,17.0764529496,16.6879117916,16.1476263362,15.4831307103,15.3885667974, 1.592838e+01, 1.584451e+01, 1.573297e+01, 1.560718e+01, 1.547878e+01, 1.534297e+01, 1.519095e+01, 1.502271e+01, 1.483829e+01, 1.465559e+01, 1.448011e+01, 1.430289e+01, 1.412111e+01, 1.395257e+01, 1.380753e+01, 1.369576e+01, 1.362146e+01, 1.358978e+01, 1.360261e+01, 1.365280e+01, 1.372646e+01, 1.381052e+01, 1.390721e+01, 1.404053e+01, 1.420605e+01, 1.436084e+01, 1.450442e+01, 1.465747e+01, 1.482916e+01, 1.502543e+01, 1.524268e+01, 1.545622e+01, 1.563439e+01, 1.578359e+01, 1.592743e+01, 1.608417e+01, 1.625463e+01, 1.640145e+01, 1.651166e+01, 1.661141e+01, 1.670423e+01, 1.677280e+01, 1.680936e+01, 1.682271e+01, 1.681597e+01, 1.678256e+01, 1.671759e+01, 1.665113e+01, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,3.455062,3.309160,3.240146,3.194486,3.144234,3.101329,3.091095,3.079943,3.034151,2.966580,3.014602,3.135443,3.474743,3.827295,4.281795,4.608236,4.855954,4.960526,5.086616,5.115350,5.135031,5.163634,5.204045,5.239734,5.233304,5.195123,5.162059,5.142378,5.112332,5.065098,5.048434,5.070477,5.111676,5.153662,5.150120,5.073232,4.987030,4.882852,4.790220,4.691946,4.593935,4.472438,4.454856,4.420742,4.414576,4.196773,3.905363,3.640063
2011-07-02,"2011-7","6",0.49865860,1309557600,22,4.472963,20.0965533,17.96219942,12.06030883,14.67534031,23,5.124534,24,15.4297036258,15.3985406691,15.2423788067,14.7011066603,14.1829796269,13.8432743891,13.7270055003,13.5356537293,13.2897974518,12.9946031781,12.7482075961,12.5038242163,12.1770939142,12.0603088321,12.2607360468,12.7134854487,13.3178120430,14.1180596568,15.1483187296,16.3186711564,17.2673231381,17.3510832697,17.3823475786,18.1199104557,18.9090550180,19.3257213494,19.4359223011,19.6795493219,19.9387227696,20.0965532899,19.9465730558,19.9502445659,19.9922109185,20.0871733789,20.0148693342,20.0721554633,20.0639208325,19.8997378178,19.6244312059,19.3291380628,19.1022367687,18.7704589745,18.5029266388,18.1448762755,17.5806541930,17.1162779387,16.2771650357,15.6871735650, 1.659006e+01, 1.653049e+01, 1.646608e+01, 1.637783e+01, 1.626809e+01, 1.614685e+01, 1.602586e+01, 1.590135e+01, 1.577077e+01, 1.563196e+01, 1.548777e+01, 1.533858e+01, 1.518050e+01, 1.502449e+01, 1.488630e+01, 1.477766e+01, 1.470467e+01, 1.467534e+01, 1.469899e+01, 1.477997e+01, 1.490434e+01, 1.502668e+01, 1.514446e+01, 1.529323e+01, 1.547402e+01, 1.566661e+01, 1.585508e+01, 1.604630e+01, 1.624092e+01, 1.643370e+01, 1.660935e+01, 1.677639e+01, 1.693718e+01, 1.709468e+01, 1.724069e+01, 1.738226e+01, 1.751635e+01, 1.763552e+01, 1.773496e+01, 1.781467e+01, 1.787905e+01, 1.792362e+01, 1.795258e+01, 1.796220e+01, 1.794312e+01, 1.790178e+01, 1.782055e+01, 1.771388e+01, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,3.432888,3.287774,3.227419,3.190943,3.130588,3.078237,3.055932,3.046747,3.008829,2.924463,2.972878,3.114581,3.446796,3.826377,4.290717,4.606400,4.829057,4.906469,5.035970,5.061949,5.081498,5.091733,5.111020,5.108527,5.124534,5.081630,5.044892,4.987030,4.949767,4.908962,4.869075,4.860547,4.892561,4.936122,4.936909,4.860940,4.776574,4.676857,4.549325,4.423498,4.335458,4.232461,4.196248,4.232461,4.204645,4.045098,3.818635,3.604244
2011-07-03,"2011-7","0",0.50139848,1309644000,24,4.351596,22.8138107,19.47221920,11.01686228,14.55396525,25,4.472963,22,15.1459340699,14.8311890592,14.4326811044,13.6751735828,13.0187390025,12.9312604221,12.8203371816,12.3351854545,11.7941644735,11.3308893139,11.1986353758,11.1323589192,11.1261500294,11.0168622838,11.3417259679,12.0714449539,13.1098941194,14.1811860745,15.1944198233,16.4663556029,17.4973257394,18.4366623820,19.4492713768,20.2657871876,20.8730058142,21.3052219555,21.4422536880,21.5072463152,21.6507267441,21.7802838151,21.9107615021,22.3614107393,22.8138107343,22.4748192668,22.0415315866,22.0028156037,22.1139611600,22.1584881643,22.0224793211,21.6187550542,21.2986293381,21.2165210593,20.9448708011,20.3976822748,19.8484449417,19.7686161106,19.3089485213,18.2870722255, 1.758548e+01, 1.744777e+01, 1.729701e+01, 1.711592e+01, 1.691106e+01, 1.671207e+01, 1.651749e+01, 1.630837e+01, 1.608266e+01, 1.584507e+01, 1.561275e+01, 1.538873e+01, 1.517560e+01, 1.496766e+01, 1.478637e+01, 1.465062e+01, 1.457359e+01, 1.455397e+01, 1.458599e+01, 1.468001e+01, 1.482087e+01, 1.500166e+01, 1.522404e+01, 1.547613e+01, 1.574597e+01, 1.602394e+01, 1.629485e+01, 1.655547e+01, 1.681023e+01, 1.705874e+01, 1.730134e+01, 1.755434e+01, 1.781732e+01, 1.805019e+01, 1.824976e+01, 1.843741e+01, 1.862124e+01, 1.879810e+01, 1.895932e+01, 1.909229e+01, 1.920261e+01, 1.930330e+01, 1.938538e+01, 1.943600e+01, 1.945662e+01, 1.947222e+01, 1.946406e+01, 1.940521e+01, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,3.422260,3.289348,3.190943,3.126521,3.035726,2.962119,2.956608,2.931548,2.876048,2.777118,2.765178,2.814381,2.965924,3.133212,3.394313,3.641244,3.937509,4.141797,4.301607,4.385448,4.445803,4.469814,4.472963,4.450264,4.421923,4.378231,4.313809,4.234823,4.166202,4.107552,4.094300,4.096925,4.137336,4.195461,4.251879,4.267362,4.227213,4.191000,4.114900,4.040375,3.975558,3.877678,3.861015,3.896966,3.932392,3.824146,3.638095,3.460573
2011-07-04,"2011-7","1",0.50413836,1309730400,24,5.289723,24.4216167,21.02580222,14.08232302,16.80963823,25,4.351596,24,17.4567668352,16.9193837665,16.6707405047,16.2426941441,15.6980805314,15.2097013176,14.9456492911,14.8908213469,14.7885786790,14.7019233997,14.3378288324,14.4862904326,14.5707590003,14.3079489976,14.0823230209,14.4590006619,15.0832244338,15.8319330066,16.8225481901,18.0240190615,19.1122369269,20.0262337927,20.7649237083,21.6484508418,22.3664825349,22.7763602772,23.1373818344,23.4536574966,23.8319252302,24.4216167347,24.3850149355,23.8263632887,23.3666875913,23.4918302909,23.6391921574,23.4381719687,23.4157145479,23.4575074328,23.4251777803,23.0913941238,22.5771240148,22.0408035172,21.4434850815,20.8558079298,20.1911464943,19.5786910588,19.2448016899,18.6000429158, 1.930778e+01, 1.918836e+01, 1.906248e+01, 1.892149e+01, 1.876032e+01, 1.858279e+01, 1.840093e+01, 1.822543e+01, 1.805359e+01, 1.788600e+01, 1.770859e+01, 1.754748e+01, 1.739864e+01, 1.724411e+01, 1.708602e+01, 1.695467e+01, 1.686110e+01, 1.680964e+01, 1.681028e+01, 1.687097e+01, 1.698303e+01, 1.713519e+01, 1.731668e+01, 1.753327e+01, 1.777493e+01, 1.802500e+01, 1.828062e+01, 1.853927e+01, 1.880390e+01, 1.908479e+01, 1.934980e+01, 1.957363e+01, 1.976328e+01, 1.994971e+01, 2.013418e+01, 2.029938e+01, 2.045520e+01, 2.060532e+01, 2.074631e+01, 2.086356e+01, 2.094924e+01, 2.100382e+01, 2.102580e+01, 2.101730e+01, 2.097599e+01, 2.090613e+01, 2.082306e+01, 2.071191e+01, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,3.294334,3.157486,3.096737,3.028641,2.946243,2.886019,2.840884,2.824615,2.773444,2.667560,2.644074,2.654440,2.746809,2.847051,3.000956,3.216135,3.461229,3.671028,3.894604,4.049953,4.184964,4.274578,4.318532,4.342543,4.351596,4.336245,4.283500,4.226425,4.181553,4.117918,4.108996,4.120673,4.140879,4.169482,4.215666,4.223539,4.201759,4.184046,4.165021,4.114375,4.107552,4.047722,4.054676,4.069502,4.081573,3.904182,3.628124,3.391427
2011-07-05,"2011-7","2",0.50687825,1309816800,34,5.383930,23.2926748,20.57818249,13.53691688,17.32420247,35,5.289723,24,18.0373195127,17.7861271555,17.4943060276,17.0471954894,16.2820200267,15.7316573183,15.2739667711,15.0874712694,15.0863752777,15.0093248919,14.5998633002,13.9353443402,13.5369168835,13.8475703902,14.3450893158,14.4689035772,14.7766543549,15.4199360221,16.4695725894,17.5114597526,18.4631043597,19.5259958819,20.4432442821,21.4173884522,22.2315029129,22.3261440749,22.5054815279,22.8630065943,23.0869589370,22.8434549218,22.5922793767,23.0322030683,23.2926747704,22.9385019637,22.1663529303,21.4833461924,20.4111753178,18.9154071151,18.0744386288,18.2150772279,18.3167934011,17.5821306850,16.6286020369,16.0746786903,15.8339632486,15.4382446312,15.1547323326,15.1125102973, 2.057818e+01, 2.043858e+01, 2.029137e+01, 2.012916e+01, 1.993680e+01, 1.972654e+01, 1.950391e+01, 1.928309e+01, 1.907326e+01, 1.887006e+01, 1.865655e+01, 1.842049e+01, 1.817631e+01, 1.795987e+01, 1.777913e+01, 1.761362e+01, 1.747177e+01, 1.736918e+01, 1.732420e+01, 1.733357e+01, 1.739004e+01, 1.749684e+01, 1.764416e+01, 1.783282e+01, 1.805276e+01, 1.826643e+01, 1.847838e+01, 1.869761e+01, 1.891708e+01, 1.911340e+01, 1.928734e+01, 1.947458e+01, 1.966549e+01, 1.982914e+01, 1.994600e+01, 2.002287e+01, 2.004228e+01, 1.998594e+01, 1.989036e+01, 1.980660e+01, 1.973211e+01, 1.962461e+01, 1.947481e+01, 1.930480e+01, 1.913126e+01, 1.894661e+01, 1.875702e+01, 1.857479e+01, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,3.202883,3.083879,3.043467,3.007779,2.963956,2.922363,2.887856,2.916459,2.896253,2.841147,2.887331,3.016701,3.384211,3.774812,4.244532,4.596297,4.843227,4.960920,5.080580,5.151563,5.175442,5.207850,5.252329,5.265450,5.289723,5.265056,5.233567,5.203127,5.185676,5.171113,5.145921,5.176886,5.237634,5.282769,5.272929,5.198272,5.065754,4.967480,4.871306,4.749546,4.646024,4.552080,4.507470,4.487395,4.462597,4.213042,3.909037,3.658695
2011-07-06,"2011-7","3",0.50961813,1309903200,33,5.325280,19.1829512,18.40044643,13.02954117,15.59304474,34,5.383930,34,15.0879028172,14.9181047411,14.6274642717,14.5646988176,14.5796116617,14.3880691258,14.2443123274,14.3677682276,14.1786579900,13.8768600114,13.5292640507,13.2786098385,13.1222861732,13.0295411668,13.0408312814,13.1020306311,13.4249749656,14.0874892488,14.7251591824,15.1071312683,15.2447363692,15.2799027263,15.4831439857,15.8896088149,16.3338025278,16.5900818457,16.8699361616,17.3357611614,17.5294549010,17.5214285128,17.7407792112,18.4331488699,19.1829511727,18.9348303572,18.2104186816,18.2768542491,18.3341549446,17.7554232963,17.0393261164,16.7057857038,16.4358492466,16.2689348673,15.9085964731,15.6177729370,15.3712124510,15.2519044546,15.0665267848,14.8186257805, 1.840045e+01, 1.822633e+01, 1.804639e+01, 1.787230e+01, 1.770767e+01, 1.754169e+01, 1.737682e+01, 1.722637e+01, 1.707398e+01, 1.691412e+01, 1.674488e+01, 1.657157e+01, 1.639910e+01, 1.623063e+01, 1.607114e+01, 1.592268e+01, 1.579780e+01, 1.571228e+01, 1.566292e+01, 1.563513e+01, 1.561561e+01, 1.559883e+01, 1.559304e+01, 1.560787e+01, 1.564417e+01, 1.569147e+01, 1.575039e+01, 1.582966e+01, 1.591465e+01, 1.599499e+01, 1.608228e+01, 1.619982e+01, 1.634898e+01, 1.647827e+01, 1.656488e+01, 1.665048e+01, 1.673466e+01, 1.678570e+01, 1.679838e+01, 1.679375e+01, 1.677585e+01, 1.675051e+01, 1.670841e+01, 1.665388e+01, 1.658975e+01, 1.652286e+01, 1.645004e+01, 1.636847e+01, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,3.434856,3.335533,3.280557,3.248281,3.200784,3.150663,3.124290,3.116812,3.087028,3.020375,3.049634,3.144496,3.513318,3.881877,4.360125,4.634084,4.861990,4.968923,5.110495,5.179772,5.208244,5.262564,5.300745,5.296415,5.321475,5.324099,5.288542,5.251673,5.235404,5.206014,5.197223,5.227400,5.321082,5.353358,5.383930,5.252854,5.149463,5.061686,4.966562,4.888625,4.820660,4.704804,4.654290,4.565463,4.467321,4.211730,3.940264,3.682049
2011-07-07,"2011-7","4",0.51235801,1309989600,24,5.299564,18.4228214,16.27865889,13.75553385,15.09033730,25,5.325280,33,14.5722853761,14.5426504917,14.7352020033,14.7498217277,14.6008631071,14.4942009427,14.5107815596,14.4978099097,14.4754128601,14.4359879298,14.3961833958,14.2632594125,14.0669313159,13.8715238689,13.7555338505,13.9843646642,14.3009884635,14.3858588615,14.5776249186,14.8447439996,15.2814281962,15.7724678663,15.9398784866,15.9325561002,15.6072925370,15.1232415792,14.9487631260,14.9566322835,15.1071331821,15.4808799879,15.9004646066,16.1125893073,16.3472266173,16.6309747048,17.2646236541,18.0521924644,18.4228213729,18.0932179998,17.3805918140,17.2993566535,17.1986248110,16.7842220994,16.1279667170,15.5902331858,15.3072756910,15.0370097925,14.7102302828,14.1680597532, 1.627866e+01, 1.619186e+01, 1.611903e+01, 1.605057e+01, 1.597808e+01, 1.590389e+01, 1.583423e+01, 1.576741e+01, 1.570281e+01, 1.563947e+01, 1.557730e+01, 1.551160e+01, 1.543937e+01, 1.536098e+01, 1.528070e+01, 1.521589e+01, 1.517014e+01, 1.513093e+01, 1.510326e+01, 1.509034e+01, 1.509989e+01, 1.513352e+01, 1.517384e+01, 1.521177e+01, 1.523155e+01, 1.522613e+01, 1.521227e+01, 1.519948e+01, 1.519487e+01, 1.520917e+01, 1.524373e+01, 1.528718e+01, 1.534018e+01, 1.540472e+01, 1.549771e+01, 1.562544e+01, 1.576531e+01, 1.588170e+01, 1.595665e+01, 1.602378e+01, 1.608252e+01, 1.611761e+01, 1.611813e+01, 1.609173e+01, 1.605251e+01, 1.600173e+01, 1.593716e+01, 1.584870e+01, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,3.492981,3.371877,3.302469,3.237522,3.175592,3.145021,3.120748,3.125340,3.120223,3.058556,3.082829,3.200390,3.518697,3.890668,4.361043,4.720287,4.906863,4.992803,5.117187,5.179379,5.217691,5.255872,5.285787,5.311635,5.312160,5.284606,5.259939,5.215198,5.206538,5.194730,5.178723,5.224907,5.288018,5.325280,5.317933,5.239209,5.155105,5.050927,4.919065,4.829844,4.726585,4.653896,4.583307,4.524920,4.473881,4.218684,3.932654,3.666698
2011-07-08,"2011-7","5",0.51509789,1310076000,24,5.309929,17.7658567,15.87084945,12.16314269,13.96590974,25,5.299564,24,13.6492244066,13.3640918288,13.3723785842,13.0033980435,12.7478228186,12.5342555632,12.4153046916,12.4813237144,12.6736641086,12.7754765019,12.7276215418,12.5018343985,12.1931634884,12.1631426921,12.5564075034,12.9250277496,13.1797756037,13.3497797609,13.4976831398,13.7578128263,13.9431806412,14.1335453683,14.5419871704,14.9619855575,15.5284067501,16.0461452665,16.5122737426,16.8668659590,16.9980740467,17.2322223913,17.4174424799,16.9670314373,16.6640634970,17.0673724711,17.6565838983,17.7658567307,17.7222873423,17.5484330939,17.1998066851,16.9479218002,16.7528855541,16.4617728245,16.2068048248,16.1112077040,15.8511922805,15.2297467393,14.6947665976,14.5562871053, 1.573873e+01, 1.562000e+01, 1.550762e+01, 1.538241e+01, 1.525068e+01, 1.511486e+01, 1.497988e+01, 1.485495e+01, 1.474589e+01, 1.464737e+01, 1.455138e+01, 1.444890e+01, 1.433611e+01, 1.422747e+01, 1.414391e+01, 1.408297e+01, 1.403781e+01, 1.400341e+01, 1.397812e+01, 1.396711e+01, 1.396591e+01, 1.397429e+01, 1.400268e+01, 1.405064e+01, 1.412453e+01, 1.422061e+01, 1.433519e+01, 1.446178e+01, 1.458859e+01, 1.472077e+01, 1.485561e+01, 1.496118e+01, 1.504632e+01, 1.514738e+01, 1.527284e+01, 1.539749e+01, 1.551373e+01, 1.561546e+01, 1.569468e+01, 1.575734e+01, 1.580712e+01, 1.583985e+01, 1.585820e+01, 1.587085e+01, 1.586987e+01, 1.583786e+01, 1.578071e+01, 1.571948e+01, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,3.433544,3.298401,3.243557,3.225188,3.175067,3.123766,3.093326,3.109333,3.090177,3.031396,3.065510,3.167326,3.504002,3.892242,4.371409,4.726978,4.946093,5.054339,5.178985,5.206670,5.225563,5.243014,5.294578,5.286181,5.299564,5.283032,5.262826,5.199322,5.177410,5.126371,5.090814,5.137130,5.197091,5.246163,5.242095,5.139098,5.050534,4.949373,4.843359,4.714776,4.583570,4.552999,4.515211,4.515473,4.451576,4.210418,3.959289,3.710915
2011-07-09,"2011-7","6",0.51783778,1310162400,21,4.522952,20.4741346,17.58626157,13.06735704,14.35290583,22,5.309929,24,14.4004198993,14.0251504423,13.7715357442,13.6858866847,13.5215737402,13.3121256340,13.2144125072,13.2142645989,13.3458373580,13.3661399985,13.3334989250,13.2529280709,13.0673570401,13.0941356304,13.2072898343,13.1304819145,13.4561553732,14.3011066986,15.0153574870,15.3595532937,15.6762712774,16.4339308395,17.2508774061,17.7050533097,18.1350067429,18.5487315872,18.9366926472,18.5725984148,18.3916907720,19.1025289491,19.6696369177,19.9589825414,19.8945244345,19.8807739828,20.0728832933,20.4741345715,20.3588851469,19.6835036719,19.0622086407,18.9766276367,18.9372636826,18.5826981408,18.0112476377,17.5504031681,17.2437659345,16.5656070143,15.8891257706,15.4329832026, 1.565353e+01, 1.557211e+01, 1.548208e+01, 1.539227e+01, 1.529874e+01, 1.519941e+01, 1.510016e+01, 1.500586e+01, 1.492286e+01, 1.484503e+01, 1.476945e+01, 1.469362e+01, 1.461231e+01, 1.453640e+01, 1.446995e+01, 1.440297e+01, 1.435563e+01, 1.435291e+01, 1.438603e+01, 1.443470e+01, 1.449678e+01, 1.459364e+01, 1.472650e+01, 1.487543e+01, 1.503841e+01, 1.521392e+01, 1.540006e+01, 1.555869e+01, 1.570034e+01, 1.587045e+01, 1.606041e+01, 1.625534e+01, 1.643730e+01, 1.660947e+01, 1.678264e+01, 1.696722e+01, 1.713680e+01, 1.726413e+01, 1.735404e+01, 1.743517e+01, 1.751027e+01, 1.756389e+01, 1.758626e+01, 1.758447e+01, 1.756743e+01, 1.751734e+01, 1.743593e+01, 1.733578e+01, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,3.489569,3.339994,3.272554,3.233323,3.178610,3.137017,3.106840,3.096868,3.057113,3.016045,3.043074,3.142134,3.482484,3.828738,4.297802,4.647205,4.865270,4.964987,5.079399,5.159042,5.204570,5.229499,5.263613,5.293659,5.309929,5.235273,5.183971,5.120860,5.061949,5.019963,4.975746,5.007629,5.075988,5.108789,5.102885,5.022849,4.934941,4.825383,4.716744,4.613354,4.470732,4.362618,4.336639,4.337689,4.293472,4.121460,3.857735,3.645574
2011-07-10,"2011-7","0",0.52057766,1310248800,24,4.446459,20.2968061,17.86321677,12.23470149,14.83186033,25,4.522952,21,15.2082109672,14.6925076561,14.0918598331,13.7533420806,13.4323803727,13.0596522996,12.8314825570,12.7189272379,12.6824515035,12.5762143064,12.3982927479,12.2347014869,12.3010838710,12.5509593862,12.8685869083,13.3942660072,13.8122488207,14.1988334900,14.6589288064,15.2297625260,15.7982671140,16.5030323473,17.2562175058,18.1268483255,18.6970463965,18.6676859030,18.6452416769,18.7614791712,19.0795897593,19.2832312513,19.4403959414,19.6610054376,19.5475289208,19.6354700717,19.5375759052,19.9118321965,20.2555858891,20.2968061277,19.9716614453,19.4575944559,19.1797866868,18.9943827193,18.8053515700,18.3748885579,17.6594945343,17.1143353377,16.8809179071,16.6777426481, 1.722941e+01, 1.710256e+01, 1.695203e+01, 1.679209e+01, 1.662411e+01, 1.644588e+01, 1.626516e+01, 1.608785e+01, 1.591758e+01, 1.575051e+01, 1.558290e+01, 1.541549e+01, 1.525977e+01, 1.512433e+01, 1.501154e+01, 1.493068e+01, 1.487476e+01, 1.484096e+01, 1.483186e+01, 1.485176e+01, 1.489908e+01, 1.497928e+01, 1.509313e+01, 1.524481e+01, 1.541742e+01, 1.557994e+01, 1.573320e+01, 1.588462e+01, 1.604436e+01, 1.620631e+01, 1.636801e+01, 1.653266e+01, 1.668341e+01, 1.683101e+01, 1.696634e+01, 1.711361e+01, 1.727071e+01, 1.742202e+01, 1.754950e+01, 1.764490e+01, 1.772165e+01, 1.778528e+01, 1.783629e+01, 1.786322e+01, 1.785303e+01, 1.781610e+01, 1.776934e+01, 1.771476e+01, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,3.476449,3.331072,3.251167,3.146727,3.058687,2.995446,2.967630,2.956084,2.923413,2.826058,2.800866,2.835767,2.989016,3.167326,3.409271,3.651610,3.942888,4.137336,4.345692,4.444622,4.504452,4.522952,4.521640,4.508651,4.501172,4.471913,4.394895,4.309742,4.256472,4.209762,4.173287,4.161347,4.187982,4.257521,4.331259,4.337557,4.302132,4.261458,4.179060,4.088659,4.024105,3.939083,3.939345,3.975558,4.007835,3.889356,3.702518,3.489307
